run_date,city_code,date,temp_max,temp_min,precip_mm,temp_avg,temp_range
2025-11-04,BUE,2025-10-05,23.0,13.2,18.6,18.1,9.8
2025-11-04,BUE,2025-10-06,16.8,8.4,0.0,12.600000000000001,8.4
2025-11-04,BUE,2025-10-07,23.0,7.2,0.0,15.1,15.8
2025-11-04,BUE,2025-10-08,24.9,10.7,0.0,17.799999999999997,14.2
2025-11-04,BUE,2025-10-09,26.4,12.8,0.0,19.6,13.599999999999998
2025-11-04,BUE,2025-10-10,28.5,14.4,0.0,21.45,14.1
2025-11-04,BUE,2025-10-11,26.7,17.3,2.1,22.0,9.399999999999999
2025-11-04,BUE,2025-10-12,18.1,13.6,0.1,15.850000000000001,4.500000000000002
2025-11-04,BUE,2025-10-13,24.3,12.2,0.0,18.25,12.100000000000001
2025-11-04,BUE,2025-10-14,25.4,12.5,0.0,18.95,12.899999999999999
2025-11-04,BUE,2025-10-15,27.0,16.5,0.0,21.75,10.5
2025-11-04,BUE,2025-10-16,28.5,16.5,0.0,22.5,12.0
2025-11-04,BUE,2025-10-17,21.7,15.6,0.6,18.65,6.1
2025-11-04,BUE,2025-10-18,22.3,10.9,0.0,16.6,11.4
2025-11-04,BUE,2025-10-19,20.8,10.5,0.0,15.65,10.3
2025-11-04,BUE,2025-10-20,24.6,13.4,0.0,19.0,11.200000000000001
2025-11-04,BUE,2025-10-21,28.2,16.0,0.0,22.1,12.2
2025-11-04,BUE,2025-10-22,26.7,18.5,0.0,22.6,8.2
2025-11-04,BUE,2025-10-23,31.1,19.0,0.0,25.05,12.100000000000001
2025-11-04,BUE,2025-10-24,25.1,19.4,34.3,22.25,5.700000000000003
2025-11-04,BUE,2025-10-25,19.3,12.5,13.4,15.9,6.800000000000001
2025-11-04,BUE,2025-10-26,22.6,8.4,0.0,15.5,14.200000000000001
2025-11-04,BUE,2025-10-27,15.2,9.6,0.7,12.399999999999999,5.6
2025-11-04,BUE,2025-10-28,16.7,6.9,0.9,11.8,9.799999999999999
2025-11-04,BUE,2025-10-29,17.1,8.0,0.0,12.55,9.100000000000001
2025-11-04,BUE,2025-10-30,19.6,12.7,0.0,16.15,6.900000000000002
2025-11-04,BUE,2025-10-31,23.1,12.8,0.0,17.950000000000003,10.3
2025-11-04,BUE,2025-11-01,27.2,14.7,0.0,20.95,12.5
2025-11-04,BUE,2025-11-02,24.3,18.2,2.1,21.25,6.100000000000001
2025-11-04,BUE,2025-11-03,27.8,17.0,0.1,22.4,10.8
2025-11-04,SCL,2025-10-05,16.6,8.2,3.2,12.4,8.400000000000002
2025-11-04,SCL,2025-10-06,21.4,4.0,0.0,12.7,17.4
2025-11-04,SCL,2025-10-07,24.6,5.4,0.0,15.0,19.200000000000003
2025-11-04,SCL,2025-10-08,27.9,6.8,0.0,17.349999999999998,21.099999999999998
2025-11-04,SCL,2025-10-09,28.7,9.1,0.0,18.9,19.6
2025-11-04,SCL,2025-10-10,21.8,10.4,0.0,16.1,11.4
2025-11-04,SCL,2025-10-11,21.6,9.5,0.0,15.55,12.100000000000001
2025-11-04,SCL,2025-10-12,27.1,5.6,0.0,16.35,21.5
2025-11-04,SCL,2025-10-13,27.4,8.8,0.0,18.1,18.599999999999998
2025-11-04,SCL,2025-10-14,25.0,8.5,0.0,16.75,16.5
2025-11-04,SCL,2025-10-15,22.0,10.7,0.0,16.35,11.3
2025-11-04,SCL,2025-10-16,25.4,10.2,0.0,17.799999999999997,15.2
2025-11-04,SCL,2025-10-17,28.8,9.5,0.0,19.15,19.3
2025-11-04,SCL,2025-10-18,30.3,9.2,0.0,19.75,21.1
2025-11-04,SCL,2025-10-19,25.3,11.0,0.0,18.15,14.3
2025-11-04,SCL,2025-10-20,26.7,7.9,0.0,17.3,18.799999999999997
2025-11-04,SCL,2025-10-21,23.0,10.5,0.0,16.75,12.5
2025-11-04,SCL,2025-10-22,27.5,9.5,0.0,18.5,18.0
2025-11-04,SCL,2025-10-23,19.5,9.8,0.0,14.65,9.7
2025-11-04,SCL,2025-10-24,20.9,10.0,0.2,15.45,10.899999999999999
2025-11-04,SCL,2025-10-25,23.7,8.5,0.1,16.1,15.2
2025-11-04,SCL,2025-10-26,26.6,8.4,0.0,17.5,18.200000000000003
2025-11-04,SCL,2025-10-27,24.4,11.4,0.0,17.9,12.999999999999998
2025-11-04,SCL,2025-10-28,27.5,8.9,0.0,18.2,18.6
2025-11-04,SCL,2025-10-29,27.3,11.6,0.0,19.45,15.700000000000001
2025-11-04,SCL,2025-10-30,28.2,11.2,0.0,19.7,17.0
2025-11-04,SCL,2025-10-31,23.0,8.6,4.0,15.8,14.4
2025-11-04,SCL,2025-11-01,24.6,8.6,0.0,16.6,16.0
2025-11-04,SCL,2025-11-02,27.8,10.5,0.0,19.15,17.3
2025-11-04,SCL,2025-11-03,21.0,9.9,0.0,15.45,11.1
