city_code,yyyymm,days,avg_temp,max_temp,min_temp,avg_range,total_precip_mm,rainy_days,avg_temp_roll3
BUE,2025-04,1,17.25,21.5,13.0,8.5,0.0,0,17.25
BUE,2025-05,31,15.820967741935483,24.5,4.3,5.874193548387097,199.1,14,16.53548387096774
BUE,2025-06,30,10.238333333333333,18.0,2.2,6.89,31.3,7,14.436433691756273
BUE,2025-07,31,11.138709677419355,20.8,-0.5,6.070967741935484,34.1,8,12.399336917562723
BUE,2025-08,31,12.95483870967742,21.3,3.5,6.651612903225806,123.7,9,11.443960573476701
BUE,2025-09,30,15.221666666666666,23.4,2.9,7.65,95.0,11,13.105071684587813
BUE,2025-10,30,19.006666666666668,30.5,7.4,8.493333333333334,94.7,15,15.727724014336916
MAD,2025-04,1,15.35,20.7,10.0,10.7,10.5,1,15.35
MAD,2025-05,31,17.36774193548387,34.3,6.4,11.612903225806452,108.7,14,16.358870967741936
MAD,2025-06,30,26.61,40.0,14.7,13.286666666666667,17.0,8,19.775913978494625
MAD,2025-07,31,26.911290322580644,38.4,15.2,13.693548387096774,0.7999999999999999,2,23.629677419354838
MAD,2025-08,31,28.362903225806452,40.5,16.5,12.996774193548386,1.3,1,27.294731182795697
MAD,2025-09,30,21.706666666666667,35.2,8.8,12.333333333333334,10.3,4,25.660286738351257
MAD,2025-10,30,17.808333333333334,30.2,4.6,10.123333333333333,29.5,11,22.625967741935483
MIA,2025-04,1,24.95,27.5,22.4,5.100000000000001,0.6,1,24.95
MIA,2025-05,31,27.53548387096774,33.3,21.2,5.5612903225806445,113.50000000000001,18,26.24274193548387
MIA,2025-06,30,27.708333333333332,31.7,22.2,4.763333333333333,196.1,30,26.73127240143369
MIA,2025-07,31,28.288709677419355,33.5,22.8,5.583870967741936,136.1,24,27.844175627240144
MIA,2025-08,31,29.116129032258065,34.5,23.9,6.929032258064516,151.2,28,28.37105734767025
MIA,2025-09,30,27.185,32.2,22.5,5.296666666666667,260.5,29,28.19661290322581
MIA,2025-10,30,26.513333333333332,32.3,20.4,5.233333333333333,153.8,25,27.604820788530464
